,Date,Close,Volume,Symbol
0,2020-06-01,2471.0400390625,2928900,AMZN
1,2020-06-02,2472.409912109375,2529900,AMZN
2,2020-06-03,2478.39990234375,2671000,AMZN
3,2020-06-04,2460.60009765625,2948700,AMZN
4,2020-06-05,2483.0,3306400,AMZN
5,2020-06-08,2524.06005859375,3970700,AMZN
6,2020-06-09,2600.860107421875,5176000,AMZN
7,2020-06-10,2647.449951171875,4946000,AMZN
8,2020-06-11,2557.9599609375,5800100,AMZN
9,2020-06-12,2545.02001953125,5429600,AMZN
10,2020-06-15,2572.679931640625,3865100,AMZN
11,2020-06-16,2615.27001953125,3585600,AMZN
12,2020-06-17,2640.97998046875,2951100,AMZN
13,2020-06-18,2653.97998046875,2487800,AMZN
14,2020-06-19,2675.010009765625,5777000,AMZN
15,2020-06-22,2713.820068359375,3208800,AMZN
16,2020-06-23,2764.409912109375,4231700,AMZN
17,2020-06-24,2734.39990234375,4526600,AMZN
18,2020-06-25,2754.580078125,2968700,AMZN
19,2020-06-26,2692.8701171875,6500800,AMZN
20,2020-06-29,2680.3798828125,4223400,AMZN
21,2020-06-30,2758.820068359375,3769700,AMZN
