,Date,Close,Volume,Symbol
0,2020-06-01,182.8300018310547,22622400,MSFT
1,2020-06-02,184.91000366210938,30794600,MSFT
2,2020-06-03,185.36000061035156,27311000,MSFT
3,2020-06-04,182.9199981689453,28761800,MSFT
4,2020-06-05,187.1999969482422,39893600,MSFT
5,2020-06-08,188.36000061035156,33211600,MSFT
6,2020-06-09,189.8000030517578,29783900,MSFT
7,2020-06-10,196.83999633789062,43872300,MSFT
8,2020-06-11,186.27000427246094,52854700,MSFT
9,2020-06-12,187.74000549316406,43345700,MSFT
10,2020-06-15,188.94000244140625,32770200,MSFT
11,2020-06-16,193.57000732421875,42556700,MSFT
12,2020-06-17,194.24000549316406,25655900,MSFT
13,2020-06-18,196.32000732421875,23061600,MSFT
14,2020-06-19,195.14999389648438,44441100,MSFT
15,2020-06-22,200.57000732421875,32818900,MSFT
16,2020-06-23,201.91000366210938,30917400,MSFT
17,2020-06-24,197.83999633789062,36740600,MSFT
18,2020-06-25,200.33999633789062,27803900,MSFT
19,2020-06-26,196.3300018310547,54675800,MSFT
20,2020-06-29,198.44000244140625,26701600,MSFT
21,2020-06-30,203.50999450683594,34310300,MSFT
